sn,satellite_office,address,postal_code,telephone
1,Aljunied,"3 Hougang Avenue 6
#01-02 Punggol Community Club
Singapore 538808",538808,6383 6020
2,Ang Mo Kio,"6 Ang Mo Kio Street 53
#02-01 Cheng San Community Club
Singapore 569205",569205,6553 6013
3,Bishan-Toa Payoh,"71 Toa Payoh Lorong 4
#01-379
Singapore 310071",310071,6355 1917
4,Chua Chu Kang,"Blk 422 Choa Chu Kang Ave 4
#01-234
Singapore 680422 ",680422,6769 1416
5,East Coast,"124 Bedok North Road
#01-133
Singapore 460124",460124,6636 2535
6,Holland-Bukit Timah,"170 Ghim Moh Road
#06-01 Ulu Pandan Community Club 
Singapore 279621",279621,6767 3401
7,Jalan Besar,"47 Bendemeer Road
#01-1479
Singapore 330047",330047,6296 1013
8,Jurong,"8 Jurong Town Hall Road
#24-02 JTC Summit
Singapore 609434",609434,6375 4100
9,Marine Parade,"10 Eunos Rd 8 
Singapore Post Centre, #12-01 
Singapore 408600         ",408600,6391 1093
10,Marsiling-Yew Tee,"20 Choa Chu Kang Street 52 
Yew Tee Community Club 
#03-07A
Singapore 689286",689286,6363 5250
11,Nee Soon,"234 Yishun Street 21
#01-418
Singapore 760234",760234,6257 1037
12,Pasir Ris-Punggol,"2 Sengkang Square
#05-01A Sengkang Community Club
Singapore 545025",545025,6636 2757
13,Sembawang,"31 Woodlands Avenue 6
#04-01A Woodlands Galaxy Community Club
Singapore 738991",738991,6767 1406
14,Tampines,"866A Tampines Street 83
#02-02 Tampines Central Community Club
Singapore 521886",521886,6587 6925
15,Tanjong Pagar,"400 Lengkok Bahru
#02-01 Leng Kee Community Club
Singapore 159049",159049,6774 3512
16,West Coast,"381 Clementi Avenue 5
#01-398
Singapore 120381",120381,6776 6002
